"","lat","lon","species"
"32",36.536,-6.238,"Argyrosomus regius"
"40",50.75141,-1.07926,"Argyrosomus regius"
"411",45.48655,-0.90609,"Argyrosomus regius"
"421",31.933332,34.700001,"Argyrosomus regius"
"431",32.016666,34.75,"Argyrosomus regius"
"441",31.5,34.466667,"Argyrosomus regius"
"451",13.845167,-16.491167,"Argyrosomus regius"
"46",13.801667,-16.599333,"Argyrosomus regius"
"57",13.767833,-16.4945,"Argyrosomus regius"
"61",45.74712,-1.18209,"Argyrosomus regius"
"62",44.97081,-0.10835,"Argyrosomus regius"
"63",45.13537,-0.62682,"Argyrosomus regius"
"64",45.30668,-0.89347,"Argyrosomus regius"
"65",45.66188,-1.04705,"Argyrosomus regius"
"66",38.15,-0.43,"Argyrosomus regius"
"751",14.177949,-16.845966,"Argyrosomus regius"
"76",38.374405,27.128719,"Argyrosomus regius"
"791",15,-18,"Argyrosomus regius"
"93",29.833,32.533,"Argyrosomus regius"
"95",-8.6542,13.2229,"Argyrosomus regius"
"96",20.9,-17.017,"Argyrosomus regius"
"104",51.877747,-8.341962,"Argyrosomus regius"
"109",-8.483333,13.183333,"Argyrosomus regius"
"110",20,39,"Argyrosomus regius"
"112",44.667,-1.183,"Argyrosomus regius"
"113",-22.553883,14.533333,"Argyrosomus regius"
"117",53.617602,-5.960648,"Argyrosomus regius"
"1241",24.725,-15.193,"Argyrosomus regius"
"127",46.167,-1.167,"Argyrosomus regius"
"1301",27.1675,56.2855,"Argyrosomus regius"
"137",-9.683333,13.2,"Argyrosomus regius"
"147",21.8045,-18.7507,"Argyrosomus regius"
"150",42.3,-12.133,"Argyrosomus regius"
"152",31.217,29.917,"Argyrosomus regius"
"153",-3.95,10.6,"Argyrosomus regius"
"154",36.531225,-6.289925,"Argyrosomus regius"
"1631",40.405502,-3.70379,"Argyrosomus regius"
"172",14.666667,-17.433333,"Argyrosomus regius"
"177",31.256598,32.303777,"Argyrosomus regius"
"185",20.9,-16.833,"Argyrosomus regius"
"191",16.033333,-16.5,"Argyrosomus regius"
"192",43.567,7.417,"Argyrosomus regius"
"199",37.25042,-6.944722,"Argyrosomus regius"
"2021",-5.9,11.966667,"Argyrosomus regius"
"205",30.333,32.333,"Argyrosomus regius"
"111",43.37008,5.28166,"Boops boops"
"27",43.18478,5.52029,"Boops boops"
"37",43.891888,15.158118,"Boops boops"
"410",43.330402,5.218244,"Boops boops"
"51",43.541969,3.97761,"Boops boops"
"83",36.732671,-3.713992,"Boops boops"
"97",35.198636,25.722392,"Boops boops"
"102",39.48,-0.29,"Boops boops"
"115",41.3021,2.15999,"Boops boops"
"134",42.142,3.17573,"Boops boops"
"143",28.389,-13.86,"Boops boops"
"156",43.41865,6.76573,"Boops boops"
"176",43.48013,3.92666,"Boops boops"
"181",43.41429,6.889,"Boops boops"
"217",40.6219,0.753,"Boops boops"
"231",36.00346,-5.605425,"Boops boops"
"252",43.0714,6.37471,"Boops boops"
"28",41.70524,8.81795,"Boops boops"
"301",43.08887,5.76168,"Boops boops"
"321",43.30274,3.55428,"Boops boops"
"352",43.18184,5.64314,"Boops boops"
"36",42.98155,6.36948,"Boops boops"
"392",42.98894,6.12469,"Boops boops"
"401",43.18758,5.39743,"Boops boops"
"422",42.98531,6.24709,"Boops boops"
"452",43.58484,7.14844,"Boops boops"
"473",42.460684,3.158044,"Boops boops"
"481",43.392,3.6785,"Boops boops"
"507",41.22,1.77,"Boops boops"
"53",36.004397,-5.605632,"Boops boops"
"679",43.49964,7.01852,"Boops boops"
"752",42.26222,8.50941,"Boops boops"
"7610",43.5701,3.92811,"Boops boops"
"85",38.347039,22.238997,"Boops boops"
"913",38.442945,-8.897858,"Boops boops"
"965",38.71,0.16,"Boops boops"
"105",43.19024,5.27455,"Boops boops"
"107",38.82,0.14,"Boops boops"
"108",43.3927,3.55514,"Boops boops"
"1105",38.85,0.1,"Boops boops"
"1121",38.82,0.16,"Boops boops"
"114",39.3155,2.487,"Boops boops"
"1172",39.9347,4.4158,"Boops boops"
"126",43.03431,3.0613,"Boops boops"
"1303",43.21405,3.18447,"Boops boops"
"1311",43.50415,6.89508,"Boops boops"
"1331",42.93184,9.43229,"Boops boops"
"1401",32.640387,-16.885386,"Boops boops"
"144",32.637568,-16.854658,"Boops boops"
"146",32.637207,-16.862727,"Boops boops"
"1471",43.28268,5.15502,"Boops boops"
"155",32.632653,-16.9068,"Boops boops"
"1614",43.08566,5.88432,"Boops boops"
"162",41.4,2.21,"Boops boops"
"1711",42.28985,9.60463,"Boops boops"
"173",41.1605,1.63676,"Boops boops"
"175",39.41,-0.29,"Boops boops"
"180",28.0843,-17.1125,"Boops boops"
"1851",28.0496,-17.2996,"Boops boops"
"187",27.6458,-17.9984,"Boops boops"
"190",28.52,-17.8771,"Boops boops"
"1911",28.5111,-17.8768,"Boops boops"
